periodo,provincia,departamento,sector,ambito,PoblacionIndigenaInicial,PoblacionIndigenaPrimaria,PoblacionIndigenaSecundaria,BoliviaInicial,BrasilInicial,ChileInicial,ParaguayInicial,PeruInicial,UruguayInicial,OtrospaisesdeAmericaInicial,EuropaInicial,AsiaInicial,OtrosInicial,BoliviaPrimaria,BrasilPrimaria,ChilePrimaria,ParaguayPrimaria,PeruPrimaria,UruguayPrimaria,OtrospaisesdeAmericaPrimaria,EuropaPrimaria,AsiaPrimaria,OtrosPrimaria,BoliviaSecundaria,BrasilSecundaria,ChileSecundaria,ParaguaySecundaria,PeruSecundaria,UruguaySecundaria,OtrospaisesdeAmericaSecundaria,EuropaSecundaria,AsiaSecundaria,OtrosSecundaria
2011,BUENOS AIRES,CORONEL SUAREZ,Privado,Urbano,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,DAIREAUX,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,DAIREAUX,Estatal,Urbano,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
2011,BUENOS AIRES,DOLORES,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,DOLORES,Estatal,Urbano,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,5,0,0,0,0,0,0
2011,BUENOS AIRES,ENSENADA,Estatal,Urbano,0,3,0,1,2,0,2,0,1,1,0,0,0,11,1,1,13,2,2,0,0,2,0,4,0,1,12,11,3,1,2,1,1
2011,BUENOS AIRES,ENSENADA,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2011,BUENOS AIRES,ESCOBAR,Estatal,Urbano,0,143,6,7,2,0,27,12,3,2,2,0,0,194,1,2,216,29,21,4,0,0,0,70,3,6,186,32,8,4,0,0,0
2011,BUENOS AIRES,ESCOBAR,Privado,Urbano,0,0,1,0,4,1,1,0,1,8,10,0,0,0,2,2,7,2,0,10,7,1,2,7,2,3,10,16,4,11,7,4,1
2011,BUENOS AIRES,ESTEBAN ECHEVERRIA,Estatal,Urbano,0,27,1,33,0,0,108,4,0,3,4,0,0,397,11,3,1145,35,26,8,4,3,0,269,2,3,651,42,18,5,3,2,0
2011,BUENOS AIRES,ESTEBAN ECHEVERRIA,Privado,Urbano,0,0,0,6,1,0,3,3,1,5,11,0,1,47,3,3,50,29,6,15,10,3,2,49,3,5,38,26,5,5,8,0,0
2011,BUENOS AIRES,EXALTACION DE LA CRUZ,Estatal,Rural,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,6,0,0,0,0,0,0,9,1,0,4,0,2,0,0,0,0
2011,BUENOS AIRES,EXALTACION DE LA CRUZ,Estatal,Urbano,0,0,0,2,0,0,8,0,0,0,0,0,0,49,1,0,25,0,1,0,1,0,0,30,0,0,11,2,4,1,0,0,0
2011,BUENOS AIRES,EZEIZA,Estatal,Urbano,0,2,0,11,0,2,34,0,3,1,3,0,0,175,3,5,455,20,19,11,1,1,0,99,5,6,342,14,16,2,2,0,0
2011,BUENOS AIRES,EZEIZA,Privado,Urbano,0,0,0,0,1,0,1,0,0,3,1,0,0,0,1,0,2,1,0,6,4,0,0,5,2,0,11,3,0,2,1,1,0
2011,BUENOS AIRES,FLORENCIO VARELA,Estatal,Rural,1,20,0,4,0,0,8,0,0,0,0,0,0,125,0,0,51,0,0,0,0,0,0,57,0,0,17,0,0,0,0,0,0
2011,BUENOS AIRES,FLORENCIO VARELA,Estatal,Urbano,0,78,2,11,1,2,59,4,0,0,0,0,0,224,9,5,666,25,25,5,3,0,0,171,1,6,493,31,7,4,1,0,0
2011,BUENOS AIRES,FLORENCIO VARELA,Privado,Urbano,0,0,0,3,0,0,8,1,0,7,4,0,0,12,2,1,55,4,5,9,2,3,0,8,0,2,42,6,2,0,2,0,0
2011,BUENOS AIRES,FLORENTINO AMEGHINO,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,FLORENTINO AMEGHINO,Estatal,Urbano,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,0,0,1,0
2011,BUENOS AIRES,GENERAL ALVARADO,Estatal,Rural,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL ALVARADO,Estatal,Urbano,1,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,2,0,0,3,1,0,0,3,0,0,0,0,0,3,0,0,0
2011,BUENOS AIRES,GENERAL ALVARADO,Privado,Urbano,0,0,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,2,0,0,0
2011,BUENOS AIRES,GENERAL ALVEAR,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL ALVEAR,Estatal,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL ARENALES,Estatal,Rural,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL ARENALES,Estatal,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL ARENALES,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL BELGRANO,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,GENERAL BELGRANO,Estatal,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,5,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0
